0,152.192,209,124,1
1,149.538,209,121,1
2,146.346,203,118,1
3,143.5,201,115,1
4,110.596,822,62,1
5,125.053,851,63,1
6,140.125,881,64,1
7,154.668,910,65,1
8,34.8654,87,14,1
9,43.5,107,21,1
10,111.423,143,102,1
11,137.808,198,118,1
12,35.0404,114,29,1.00012
13,48.854,150,36,1.00108
14,62.3482,154,43,1.00254
15,56.3214,137,50,1.00071
16,155.654,215,127,1
17,153.231,212,124,1
18,149.692,210,121,1
19,147.923,211,118,1
20,183.591,953,81,1
21,197.894,981,82,1
22,212.519,1010,83,1
23,84.1731,95,84,1
24,44.0189,96,23,1
25,51.3396,116,30,1
26,83.7436,130,43,1
27,92.4231,109,77,1
28,50.2859,176,32,1.00121
29,63.4626,162,39,1.00331
30,0,-nan,nan,0
31,20.6501,89,13,1
32,158.923,215,130,1
33,155.692,212,127,1
34,153.038,209,124,1
35,149.461,206,121,1
36,165.269,829,121,1
37,193.865,860,148,1
38,223.115,888,175,1
39,250.5,917,202,1
40,53.0769,105,32,1
41,60.1538,112,39,1
42,132.744,166,110,1
43,160.372,209,130,1
44,54,98,40,1
45,51.2307,52,51,0.999999
46,77.6538,124,62,1
47,73.8461,74,73,0.999999
48,162.385,218,133,1
49,159.808,215,130,1
50,156.846,212,127,1
51,0,-nan,nan,0
52,292.231,960,244,1
53,319.75,987,272,1
54,347.798,1016,300,1
55,0,-nan,nan,0
56,62.1538,114,41,1
57,0,-nan,nan,0
58,0,-nan,nan,0
59,161.649,218,81,1
60,110.731,148,92,1
61,123.308,131,120,0.999999
62,133.308,166,119,0.999999
63,52.4444,65,43,0.999999
64,32.2019,33,32,1
65,33.226,34,33,1
66,34.4808,35,34,1
67,36,36,36,1
68,125.4,366,34,1
69,215.25,533,47,1
70,306,702,61,1
71,159.775,394,74,1
72,83.5192,207,40,1
73,38.1442,44,38,1
74,104.517,341,49,1
75,141.631,416,46,1
76,85.6,288,32,1
77,144.05,365,33,1
78,197.3,442,34,1
79,35.9999,36,36,0.999999
80,61.2319,62,61,1
81,62.2126,63,62,1
82,63.4976,64,63,1
83,64.4928,65,64,1
84,244.775,578,63,1
85,336,747,76,1
86,190.05,440,90,1
87,280.45,605,103,1
88,99.9135,225,41,1
89,39.3173,45,39,1
90,177.852,483,48,1
91,121.704,274,45,1
92,123.3,327,61,1
93,181,408,62,1
94,233.4,481,63,1
95,39.1944,48,28,1
96,90.2077,91,90,1
97,91.2464,92,91,1
98,92.5652,93,92,1
99,93.5024,94,93,1
100,366.8,789,92,1
101,221.375,492,105,1
102,312.1,650,119,1
103,403.475,819,133,1
104,113.851,263,42,1
105,40.3558,49,40,1
106,125.803,387,47,1
107,162.988,460,44,1
108,127.029,436,29,1
109,131.226,447,26,1
110,135.486,457,23,1
111,139.37,468,20,1
112,119.208,120,119,1
113,120,120,120,1
114,0,-nan,nan,0
115,0,-nan,nan,0
116,0,-nan,nan,0
117,0,-nan,nan,0
118,0,-nan,nan,0
119,50.3411,91,35,1
120,210.365,281,169,1
121,23,28,18,1
122,199.07,530,46,1
123,21.4555,39,14,1
124,148.663,465,42,1
125,153.144,480,39,1
126,157.034,489,36,1
127,20.4286,29,14,1
128,35,35,35,1
129,0,-nan,nan,0
130,53,53,53,1
131,83,83,83,1
132,0,-nan,nan,0
133,0,-nan,nan,0
134,0,-nan,nan,0
135,0,-nan,nan,0
136,51.3942,143,20,1
137,54.0288,149,18,1
138,77.3529,251,36,1.00412
139,86.6452,261,44,1.00714
140,63.2283,225,33,1.10581
141,71.9178,236,40,1.13103
142,76.4601,244,39,1.15849
143,66.3956,218,25,1.08988
144,0,-nan,nan,0
145,32.9997,33,33,0.99999
146,116,116,116,1
147,0,-nan,nan,0
148,0,-nan,nan,0
149,0,-nan,nan,0
150,0,-nan,nan,0
151,0,-nan,nan,0
152,71.5192,172,31,1
153,29.0377,30,29,1
154,89.5896,286,25,1.01993
155,79.5811,258,33,1.00608
156,76.5136,250,32,1.17937
157,85.1808,261,39,1.21378
158,0,-nan,nan,0
159,22.652,83,13,1
160,0,-nan,nan,0
161,0,-nan,nan,0
162,30.7857,33,30,1
163,39.7143,43,38,1
164,0,-nan,nan,0
165,0,-nan,nan,0
166,0,-nan,nan,0
167,0,-nan,nan,0
168,98.4615,158,68,1
169,105.442,165,75,1
170,91.7376,285,32,1.01808
171,101.019,293,40,1.02539
172,76.1731,340,30,1
173,28.375,33,28,1
174,97.0048,383,26,1
175,27.3077,42,24,1
176,0,-nan,nan,0
177,0,-nan,nan,0
178,43.7429,49,41,1
179,0,-nan,nan,0
180,0,-nan,nan,0
181,0,-nan,nan,0
182,0,-nan,nan,0
183,0,-nan,nan,0
184,128.154,189,97,1
185,0,-nan,nan,0
186,0,-nan,nan,0
187,20.8547,29,14,1
188,124.154,420,47,1
189,46.8269,60,45,1
190,245.308,456,219,1
191,23.1282,29,18,1
192,34.3,45,26,0.999999
193,30.1999,31,29,0.999998
194,0,-nan,nan,0
195,0,-nan,nan,0
196,48.4998,57,40,0.999995
197,79.9992,80,80,0.99999
198,67.4997,102,33,0.999995
199,122.999,123,123,0.99999
200,68.8077,115,50,1
201,61.923,67,61,0.999999
202,55.0073,102,49,1
203,46.0558,50,46,1
204,63.1538,110,32,1
205,33.0769,34,33,0.999999
206,101.346,205,34,1
207,37.1538,40,36,0.999999
208,58.5999,66,52,0.999999
209,0,-nan,nan,0
210,0,-nan,nan,0
211,0,-nan,nan,0
212,100.999,161,41,0.999995
213,182.998,183,183,0.99999
214,118.999,204,34,0.999995
215,0,-nan,nan,0
216,94.7307,138,77,1
217,90.5384,95,88,0.999999
218,61.3329,119,48,1
219,45.0364,49,45,1
220,138,231,61,1
221,63.4615,70,62,0.999999
222,174.231,301,63,1
223,0,-nan,nan,0
224,29,29,29,1
225,26,26,26,1
226,0,-nan,nan,0
227,0,-nan,nan,0
228,36.4999,40,30,0.999998
